home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,game_seconds_remaining,game_half,qtr,down,goal_to_go,ydstogo,shotgun,no_huddle,home_timeouts_remaining,away_timeouts_remaining,third_down_converted,fourth_down_converted
SEA,GB,GB,away,SEA,GB,61,9/4/2014,3450,Half1,1,3,0,10,1,0,3,3,0,0
SEA,GB,SEA,home,GB,SEA,56,9/4/2014,3344,Half1,1,3,0,1,1,0,3,3,1,0
SEA,GB,SEA,home,GB,GB,44,9/4/2014,3231,Half1,1,3,0,2,1,0,3,3,0,0
SEA,GB,SEA,home,GB,GB,21,9/4/2014,3106,Half1,1,3,0,5,1,0,3,3,0,0
SEA,GB,GB,away,SEA,GB,74,9/4/2014,2991,Half1,1,3,0,15,1,0,3,2,0,0
SEA,GB,GB,away,SEA,SEA,32,9/4/2014,2899,Half1,1,3,0,8,1,0,3,2,1,0
SEA,GB,SEA,home,GB,SEA,71,9/4/2014,2700,Half1,2,3,0,1,1,0,3,1,1,0
SEA,GB,GB,away,SEA,GB,79,9/4/2014,2497,Half1,2,3,0,5,1,0,3,1,1,0
SEA,GB,GB,away,SEA,GB,62,9/4/2014,2396,Half1,2,3,0,4,1,0,3,1,1,0
SEA,GB,GB,away,SEA,GB,51,9/4/2014,2301,Half1,2,3,0,5,1,0,3,1,0,0
SEA,GB,GB,away,SEA,SEA,5,9/4/2014,2220,Half1,2,3,1,5,1,0,3,1,0,0
SEA,GB,GB,away,SEA,SEA,45,9/4/2014,1887,Half1,2,3,0,4,1,0,3,0,0,0
SEA,GB,SEA,home,GB,SEA,66,9/4/2014,1819,Half1,2,3,0,3,1,0,2,0,1,0
SEA,GB,SEA,home,GB,SEA,59,9/4/2014,1674,Half2,3,3,0,10,1,0,3,3,0,0
SEA,GB,SEA,home,GB,GB,3,9/4/2014,1570,Half2,3,3,1,3,1,0,3,3,0,0
SEA,GB,GB,away,SEA,GB,76,9/4/2014,1466,Half2,3,3,0,6,1,0,3,3,1,0
SEA,GB,GB,away,SEA,GB,69,9/4/2014,1397,Half2,3,3,0,12,1,0,3,3,1,0
SEA,GB,GB,away,SEA,SEA,41,9/4/2014,1335,Half2,3,3,0,5,1,0,3,3,0,0
SEA,GB,SEA,home,GB,GB,38,9/4/2014,1241,Half2,3,3,0,9,1,0,3,3,0,0
SEA,GB,SEA,home,GB,GB,26,9/4/2014,968,Half2,3,3,0,10,1,0,3,3,1,0
SEA,GB,GB,away,SEA,SEA,31,9/4/2014,658,Half2,4,3,0,2,1,0,3,3,1,0
SEA,GB,SEA,home,GB,SEA,76,9/4/2014,484,Half2,4,3,0,6,1,0,3,3,0,0
SEA,GB,SEA,home,GB,GB,16,9/4/2014,163,Half2,4,3,0,2,1,0,3,3,0,0
SEA,GB,GB,away,SEA,GB,69,9/4/2014,120,Half2,4,3,0,3,1,0,3,2,0,0
SEA,GB,GB,away,SEA,GB,79,9/4/2014,111,Half2,4,3,0,13,1,0,3,2,0,0
SEA,GB,SEA,home,GB,SEA,80,9/4/2014,21,Half2,4,3,0,12,0,0,3,2,0,0
ATL,NO,NO,away,ATL,ATL,35,9/7/2014,3474,Half1,1,3,0,2,1,0,3,3,1,0
ATL,NO,NO,away,ATL,ATL,27,9/7/2014,3378,Half1,1,3,0,19,1,0,3,3,0,0
ATL,NO,ATL,home,NO,ATL,76,9/7/2014,3257,Half1,1,3,0,6,1,0,3,3,0,0
ATL,NO,ATL,home,NO,ATL,81,9/7/2014,3232,Half1,1,3,0,11,1,0,3,3,0,0
ATL,NO,NO,away,ATL,NO,58,9/7/2014,3147,Half1,1,3,0,7,1,0,3,3,1,0
ATL,NO,NO,away,ATL,ATL,46,9/7/2014,3065,Half1,1,3,0,6,1,0,3,3,1,0
ATL,NO,NO,away,ATL,ATL,33,9/7/2014,2991,Half1,1,3,0,10,1,0,3,3,0,0
ATL,NO,NO,away,ATL,NO,74,9/7/2014,2716,Half1,1,3,0,4,1,0,3,2,1,0
ATL,NO,NO,away,ATL,ATL,11,9/7/2014,2550,Half1,2,3,0,3,0,0,3,2,1,0
ATL,NO,ATL,home,NO,ATL,78,9/7/2014,2458,Half1,2,3,0,8,1,0,3,2,1,0
ATL,NO,ATL,home,NO,NO,22,9/7/2014,2277,Half1,2,3,0,1,1,0,3,2,1,0
ATL,NO,ATL,home,NO,NO,20,9/7/2014,2194,Half1,2,3,0,10,1,0,3,2,0,0
ATL,NO,ATL,home,NO,NO,25,9/7/2014,2194,Half1,2,3,0,15,1,0,3,2,0,0
ATL,NO,ATL,home,NO,NO,15,9/7/2014,2083,Half1,2,3,0,12,0,0,3,2,1,0
ATL,NO,ATL,home,NO,NO,30,9/7/2014,1618,Half2,3,3,0,1,0,0,3,3,1,0
ATL,NO,ATL,home,NO,NO,28,9/7/2014,1542,Half2,3,3,0,10,1,0,3,3,1,0
ATL,NO,NO,away,ATL,NO,57,9/7/2014,1345,Half2,3,3,0,8,1,0,3,3,0,0
ATL,NO,ATL,home,NO,ATL,75,9/7/2014,1279,Half2,3,3,0,10,1,0,3,3,0,0
ATL,NO,NO,away,ATL,ATL,14,9/7/2014,1081,Half2,3,3,0,7,1,0,3,3,0,0
ATL,NO,NO,away,ATL,NO,73,9/7/2014,864,Half2,4,3,0,3,1,0,3,3,1,0
ATL,NO,NO,away,ATL,NO,57,9/7/2014,744,Half2,4,3,0,5,1,0,3,3,1,0
ATL,NO,NO,away,ATL,ATL,46,9/7/2014,656,Half2,4,3,0,8,1,0,3,3,1,0
ATL,NO,ATL,home,NO,ATL,88,9/7/2014,479,Half2,4,3,0,18,1,0,3,3,0,0
ATL,NO,NO,away,ATL,NO,70,9/7/2014,395,Half2,4,3,0,6,1,0,3,3,0,0
ATL,NO,ATL,home,NO,ATL,67,9/7/2014,312,Half2,4,3,0,6,1,0,3,3,1,0
ATL,NO,ATL,home,NO,NO,33,9/7/2014,8,Half2,4,3,0,9,0,0,0,2,0,0
ATL,NO,ATL,home,NO,NO,34,9/7/2014,807,Overtime,5,3,0,6,0,0,2,2,0,0
STL,MIN,MIN,away,STL,MIN,63,9/7/2014,3456,Half1,1,3,0,2,0,0,3,3,1,0
STL,MIN,MIN,away,STL,STL,30,9/7/2014,3316,Half1,1,3,0,15,1,0,3,3,0,0
STL,MIN,MIN,away,STL,STL,35,9/7/2014,3316,Half1,1,3,0,20,1,0,3,3,0,0
STL,MIN,STL,home,MIN,STL,58,9/7/2014,3157,Half1,1,3,0,8,0,0,3,3,0,0
STL,MIN,MIN,away,STL,MIN,67,9/7/2014,3030,Half1,1,3,0,8,1,0,3,3,0,0
STL,MIN,STL,home,MIN,STL,64,9/7/2014,2946,Half1,1,3,0,1,0,0,3,3,1,0
STL,MIN,STL,home,MIN,MIN,39,9/7/2014,2816,Half1,1,3,0,8,1,0,3,3,0,0
STL,MIN,MIN,away,STL,STL,37,9/7/2014,2696,Half1,2,3,0,10,1,0,3,3,0,0
STL,MIN,STL,home,MIN,STL,61,9/7/2014,2559,Half1,2,3,0,10,1,0,3,3,0,0
STL,MIN,STL,home,MIN,STL,66,9/7/2014,2530,Half1,2,3,0,15,1,0,3,3,0,0
STL,MIN,MIN,away,STL,MIN,86,9/7/2014,2396,Half1,2,3,0,16,1,0,3,3,0,0
STL,MIN,STL,home,MIN,STL,56,9/7/2014,2262,Half1,2,3,0,1,0,0,3,3,1,0
STL,MIN,STL,home,MIN,STL,51,9/7/2014,2119,Half1,2,3,0,20,1,0,3,3,0,0
STL,MIN,MIN,away,STL,MIN,72,9/7/2014,1958,Half1,2,3,0,10,1,0,3,2,1,0
STL,MIN,MIN,away,STL,MIN,64,9/7/2014,1917,Half1,2,3,0,20,1,0,3,2,0,0
STL,MIN,STL,home,MIN,MIN,29,9/7/2014,1560,Half2,3,3,0,8,1,0,3,3,0,0
STL,MIN,MIN,away,STL,MIN,57,9/7/2014,1381,Half2,3,3,0,7,1,0,3,3,1,0
STL,MIN,MIN,away,STL,STL,41,9/7/2014,1275,Half2,3,3,0,5,1,0,3,3,0,0
STL,MIN,STL,home,MIN,STL,79,9/7/2014,1069,Half2,3,3,0,14,1,0,3,3,0,0
STL,MIN,STL,home,MIN,STL,76,9/7/2014,946,Half2,3,3,0,6,1,0,3,3,0,0
STL,MIN,STL,home,MIN,STL,81,9/7/2014,926,Half2,3,3,0,11,1,0,3,3,0,0
STL,MIN,MIN,away,STL,MIN,72,9/7/2014,898,Half2,4,3,0,12,1,0,3,3,0,0
STL,MIN,STL,home,MIN,STL,87,9/7/2014,750,Half2,4,3,0,20,1,0,3,3,0,0
STL,MIN,MIN,away,STL,MIN,52,9/7/2014,503,Half2,4,3,0,14,1,0,3,2,0,0
STL,MIN,STL,home,MIN,STL,82,9/7/2014,338,Half2,4,3,0,12,1,0,3,2,1,0
STL,MIN,STL,home,MIN,STL,59,9/7/2014,287,Half2,4,3,0,3,1,0,3,2,1,0
STL,MIN,STL,home,MIN,MIN,23,9/7/2014,198,Half2,4,3,0,4,0,0,3,2,0,0
STL,MIN,STL,home,MIN,MIN,28,9/7/2014,100,Half2,4,3,0,22,1,1,3,2,0,0
PIT,CLE,PIT,home,CLE,CLE,14,9/7/2014,3340,Half1,1,3,1,14,1,0,3,3,0,0
PIT,CLE,CLE,away,PIT,CLE,66,9/7/2014,3233,Half1,1,3,0,1,0,0,3,3,1,0
PIT,CLE,CLE,away,PIT,PIT,21,9/7/2014,3083,Half1,1,3,0,14,1,0,3,2,0,0
PIT,CLE,PIT,home,CLE,PIT,76,9/7/2014,2959,Half1,1,3,0,6,1,0,3,2,1,0
PIT,CLE,PIT,home,CLE,PIT,56,9/7/2014,2844,Half1,1,3,0,6,1,0,3,2,1,0
PIT,CLE,PIT,home,CLE,CLE,7,9/7/2014,2755,Half1,1,3,0,1,0,0,3,2,1,0
PIT,CLE,CLE,away,PIT,CLE,77,9/7/2014,2700,Half1,2,3,0,1,0,0,3,2,0,0
PIT,CLE,CLE,away,PIT,PIT,41,9/7/2014,2593,Half1,2,3,0,17,1,0,3,2,0,0
PIT,CLE,CLE,away,PIT,CLE,86,9/7/2014,2334,Half1,2,3,0,5,1,0,3,1,0,0
PIT,CLE,CLE,away,PIT,CLE,57,9/7/2014,2112,Half1,2,3,0,4,1,0,3,1,0,0
