q01,q02,q03,q04,q05,q06,q06a,q07,q07a,q07b,q08,q09,q10,q11,q12,q13,q14
a,a,a,e,g,d,NA,b,NA,NA,a,b,f,b,e,a,a
a,a,a,d,c,d,NA,a,d,c,b,a,m,b,c,d,e
a,a,a,d,e,d,b,a,d,a,b,a,NA,a,e,b,a
a,a,a,a,e,d,b,b,NA,NA,b,a,f,b,e,a,e
a,a,a,d,c,d,NA,b,NA,NA,b,a,f,a,c,b,f
a,a,a,a,a,d,NA,a,d,a,b,a,f,b,f,a,a
a,a,a,d,c,c,b,a,c,d,a,a,f,a,e,b,c
a,a,a,a,i,d,b,b,NA,NA,a,a,f,a,e,c,a
a,a,a,b,e,d,NA,a,d,d,a,b,f,a,f,b,c
a,a,a,d,c,d,a,a,b,d,a,a,t,a,f,a,b
a,a,a,b,e,d,c,b,NA,NA,a,b,d,a,c,c,b
a,a,a,d,c,d,d,d,b,NA,a,a,f,b,d,d,b
a,a,a,d,c,d,b,b,NA,NA,a,a,f,a,f,b,a
a,a,a,e,c,d,NA,b,NA,NA,a,a,f,a,f,b,f
a,a,a,e,i,NA,NA,a,d,c,b,a,f,a,e,d,a
a,a,a,d,c,d,c,a,c,c,b,a,NA,b,e,b,e
a,a,a,a,c,d,b,a,c,a,b,a,f,a,e,b,a
a,a,a,a,c,NA,NA,a,a,c,b,a,f,a,e,b,a
a,a,a,a,c,NA,NA,a,c,c,b,a,f,b,e,c,a
a,a,a,d,c,NA,NA,a,a,c,b,a,j,a,e,d,b
a,a,a,a,d,NA,NA,a,a,c,b,a,f,a,e,d,f
a,a,a,e,e,a,a,a,a,a,a,b,NA,b,e,b,b
a,a,a,a,c,d,a,a,c,a,a,b,f,b,d,b,b
a,a,a,d,i,d,a,a,c,a,a,b,f,b,e,c,b
a,a,a,d,c,c,d,a,a,a,NA,NA,b,a,d,b,a
a,a,a,d,e,d,a,a,c,a,a,a,f,a,e,b,g
a,a,a,b,i,c,c,b,NA,NA,b,a,f,b,d,d,b
a,a,a,d,c,d,c,a,a,a,a,a,b,b,d,c,f
a,a,a,d,f,c,b,b,NA,NA,b,a,j,a,c,b,f
a,a,a,d,c,d,NA,NA,NA,NA,a,a,f,b,c,b,d
a,a,a,d,c,d,b,a,c,a,b,a,f,b,e,c,b
a,a,a,d,c,d,b,a,c,a,b,a,f,b,e,c,f
a,a,a,d,c,c,b,a,c,c,a,b,b,b,d,b,NA
a,a,a,e,f,d,NA,b,NA,NA,b,a,f,b,c,d,d
a,a,a,e,g,d,NA,b,NA,NA,b,a,j,b,c,b,f
a,a,a,a,d,d,d,a,d,a,a,a,f,b,e,c,a
a,a,a,a,e,d,NA,a,b,d,b,a,j,b,e,d,a
a,a,a,d,d,d,NA,a,b,a,b,a,f,b,c,d,b
a,a,a,a,d,d,d,a,d,a,a,a,f,b,e,c,a
a,a,a,d,d,d,NA,a,b,a,b,a,f,b,c,d,b
a,a,a,d,c,a,a,b,NA,NA,b,a,m,b,e,b,f
a,a,a,a,b,c,b,a,d,d,b,a,NA,a,c,d,b
a,a,a,a,c,a,b,a,b,c,a,a,f,a,e,b,f
a,a,a,a,c,d,NA,a,a,d,b,b,f,b,d,b,f
a,a,a,a,c,d,NA,a,c,a,b,a,f,b,e,b,e
a,a,a,b,c,d,NA,a,d,a,b,a,f,a,e,c,b
a,a,a,b,e,NA,NA,a,d,a,a,b,f,a,f,b,c
a,a,a,a,e,d,b,b,NA,NA,b,a,m,a,d,a,e
